Description,Value
Number Patients,10000
Average Age,74.58
Average Age male,72.64
Average Age female,76.49
Screening Colonoscopies,0.0
Symptom Colonoscopies,758.0
Follow up Colonoscopies,2152.0
Number Rectosigmo,0.0
Number FOBT,0.0
Numer I-FOBT,0.0
Number Septin9,0.0
Number other,0.0
Colon cancer deaths,279
Years lost to colon cancer,3565.25
Patients died of colonoscopy,0
Years lost due to colonoscopy,0.0
Total costs,49678408.0
Dwell time all cancer (median),65.5
Dwell time all progressed cancer (median),69.5
Dwell time all fast cancer (median),18.0
Sojourn time (median),3.0
screening stage I,0.0
screening stage II,0.0
screening stage III,0.0
screening stage IV,0.0
symptoms stage I,112.0
symptoms stage II,292.0
symptoms stage III,179.0
symptoms stage IV,148.0
all stage I,19.157088122605366
all stage II,38.8250319284802
all stage III,23.116219667943806
all stage IV,18.901660280970624
number stage I,150
number stage II,304
number stage III,181
Number ALL Ca,783
detected screening,0
detected symptoms,731
detected surveillance,52
detected baseline,0
fraction direct all,16.6
fraction direct right,6.5
dwell time all ca median,65.5
dwell time all ca mean,53.8011432009627
dwell time all ca lower quartile,21.5
dwell time all ca upper quartile,78.4375
dwell time fast ca. median,18.0
dwell time fast ca. mean,24.418
dwell time fast ca. lower quartile,11.5
dwell time fast ca. upper quartile,28.5
progressed ca dwell time time median,69.5
progressed ca dwell time mean,59.00354107648725
progressed ca dwell time lower quartile,36.25
progressed ca dwell time upper quartile,79.75
sojourn time median,3.0
sojourn time mean,2.924164524421594
sojourn time lower quartile,2.0
sojourn time upper quartile,3.75
overall time median,68.4241645244216
overall time mean,56.72530772538429
overall time lower quartile,24.424164524421595
overall time upper quartile,81.2991645244216
comment,no comment please
settings name,CMOST13_02072016
